id,leftFileId,leftFilePath,rightFileId,rightFilePath,similarity,totalOverlap,longestFragment,leftCovered,rightCovered
3450,7,baselines_work/cohorte/csharp/CODE_DIF_CS_011/CODE_DIF_CS_011.cs,42,baselines_work/cohorte/csharp/CODE_FUN_CS_013/CODE_FUN_CS_013.cs,0.016260162601626018,6,2,3,3
3493,13,baselines_work/cohorte/csharp/CODE_DIF_CS_012/CODE_DIF_CS_012.cs,22,baselines_work/cohorte/csharp/CODE_ESTRU_CS_008/CODE_ESTRU_CS_008.cs,0.01729106628242075,6,1,3,3
3514,13,baselines_work/cohorte/csharp/CODE_DIF_CS_012/CODE_DIF_CS_012.cs,43,baselines_work/cohorte/csharp/CODE_FUN_CS_014/CODE_FUN_CS_014.cs,0.01764705882352941,6,1,3,3
3516,13,baselines_work/cohorte/csharp/CODE_DIF_CS_012/CODE_DIF_CS_012.cs,47,baselines_work/cohorte/csharp/CODE_IDENT_CS_001/CODE_IDENT_CS_001.cs,0.01929260450160772,6,1,3,3
3517,13,baselines_work/cohorte/csharp/CODE_DIF_CS_012/CODE_DIF_CS_012.cs,45,baselines_work/cohorte/csharp/CODE_IDENT_CS_001_COPY/CODE_IDENT_CS_001.cs,0.01929260450160772,6,1,3,3
3522,13,baselines_work/cohorte/csharp/CODE_DIF_CS_012/CODE_DIF_CS_012.cs,52,baselines_work/cohorte/csharp/CODE_IDENT_CS_004/CODE_IDENT_CS_004.cs,0.014925373134328358,6,2,3,3
3523,13,baselines_work/cohorte/csharp/CODE_DIF_CS_012/CODE_DIF_CS_012.cs,50,baselines_work/cohorte/csharp/CODE_IDENT_CS_004_COPY/CODE_IDENT_CS_004.cs,0.014925373134328358,6,2,3,3
3530,13,baselines_work/cohorte/csharp/CODE_DIF_CS_012/CODE_DIF_CS_012.cs,58,baselines_work/cohorte/csharp/CODE_IDENT_CS_008/CODE_IDENT_CS_008.cs,0.017142857142857144,6,1,3,3
3531,13,baselines_work/cohorte/csharp/CODE_DIF_CS_012/CODE_DIF_CS_012.cs,65,baselines_work/cohorte/csharp/CODE_IDENT_CS_008_COPY/CODE_IDENT_CS_008.cs,0.017142857142857144,6,1,3,3
3563,10,baselines_work/cohorte/csharp/CODE_DIF_CS_013/CODE_DIF_CS_013.cs,33,baselines_work/cohorte/csharp/CODE_FUN_CS_001/CODE_FUN_CS_001.cs,0.01284796573875803,6,2,3,3
3669,16,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,17,baselines_work/cohorte/csharp/CODE_ESTRU_CS_001/CODE_ESTRU_CS_001.cs,0.016,6,3,3,3
3677,16,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,23,baselines_work/cohorte/csharp/CODE_ESTRU_CS_009/CODE_ESTRU_CS_009.cs,0.01680672268907563,6,3,3,3
3680,16,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,27,baselines_work/cohorte/csharp/CODE_ESTRU_CS_012/CODE_ESTRU_CS_012.cs,0.01634877384196185,6,3,3,3
3690,16,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,35,baselines_work/cohorte/csharp/CODE_FUN_CS_007/CODE_FUN_CS_007.cs,0.01634877384196185,6,2,3,3
3697,16,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,43,baselines_work/cohorte/csharp/CODE_FUN_CS_014/CODE_FUN_CS_014.cs,0.0158311345646438,6,2,3,3
3699,16,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,47,baselines_work/cohorte/csharp/CODE_IDENT_CS_001/CODE_IDENT_CS_001.cs,0.017142857142857144,6,3,3,3
3700,16,baselines_work/cohorte/csharp/CODE_DIF_CS_015/CODE_DIF_CS_015.cs,45,baselines_work/cohorte/csharp/CODE_IDENT_CS_001_COPY/CODE_IDENT_CS_001.cs,0.017142857142857144,6,3,3,3
