id,hash,ignored,data,files
274,549950,false,,[4]
275,676347,false,,"[4,3,9,5]"
276,1589109,false,,"[4,3,9,5,16]"
277,1884826,false,,"[4,3,9,5,16]"
278,3958156,false,,"[4,3,9,5]"
279,2490180,false,,"[4,3,9,5,43]"
280,1173701,false,,"[4,3,9,5,43]"
281,1928558,false,,"[4,3,9,5,43]"
282,3192909,false,,"[4,3,9,5,8,12,7,10,11,43]"
283,122904,false,,"[4,5]"
284,1667154,false,,[4]
285,531213,false,,[4]
286,3822872,false,,[4]
287,2260063,false,,[4]
288,1972558,false,,"[4,5,13]"
289,3082606,false,,"[4,3,9,5,8,12,7,10,11,36]"
290,7177887,false,,"[4,3,9,5,12,11,14,30]"
291,9330981,false,,"[4,3,9,5]"
292,8123157,false,,"[4,3,9,5]"
293,1030341,false,,"[4,3,9,5,11]"
294,1584423,false,,"[4,3,9,5,11]"
295,2580374,true,,"[4,0,3,6,9,5,7,13,10,11,16,14,30,36,39,37,41,42]"
296,1778404,true,,"[4,0,3,6,9,5,8,12,7,13,10,11,16,17,14,33,30,36,39,37,41,42,43,44,47,45]"
297,7670979,true,,"[4,0,3,9,5,8,12,7,10,11,16,14,36,41]"
298,1968121,false,,"[4,3,9,5]"
299,2462269,false,,"[4,3,9,5]"
300,6292012,false,,"[4,3,9,5,13]"
301,416873,false,,"[4,3,5]"
302,966683,false,,"[4,0,3,5]"
303,87848,false,,"[4,3,5]"
304,1227769,false,,"[4,3]"
305,1057803,false,,"[4,3]"
306,686964,false,,"[4,3]"
307,188744,false,,"[4,3]"
308,1228665,false,,"[4,3,9,5,7,14,36]"
309,3581590,false,,"[4,17]"
310,199270,false,,[4]
311,1971986,false,,[4]
312,212259,false,,"[4,5]"
313,535781,false,,"[4,5]"
314,2784222,false,,[4]
315,1158591,false,,"[4,6,5,36]"
316,5497555,false,,"[4,6,36]"
317,1245696,false,,"[4,6,36]"
318,1251204,false,,"[4,6]"
319,3023490,false,,"[4,6]"
320,3964573,false,,"[4,6]"
321,3321520,false,,"[4,6,11]"
322,2118992,false,,"[4,6]"
323,1854917,false,,[4]
324,226557,false,,[4]
325,2006309,false,,"[4,36]"
326,4578726,false,,"[4,36]"
327,5231767,false,,"[4,36]"
328,4801572,false,,"[4,38]"
329,5774530,false,,"[4,12]"
330,6191954,false,,[4]
331,3249218,true,,"[4,0,3,5,10,14,23,24,27,28,26,30,39,37,41,42,44,52,50,62,61,64,59,63,67,72,70,73,74]"
